Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop,Continent
20,Mexico,5729270,1438,323973,24,5030349.0,1232.0,374948.0,4798,43614,2466.0,15728496,119733,131363136,North America
21,Australia,5509313,51325,6845,38,5073532.0,0.0,428936.0,161,211647,263.0,68517394,2632177,26030697,Oceania
22,Ukraine,4994246,0,108268,0,,,,177,115441,2503.0,19521252,451229,43262405,Europe
23,Malaysia,4402234,0,35449,0,4274746.0,0.0,92039.0,97,132958,1071.0,58043873,1753064,33109959,Asia
24,Thailand,4084299,20455,27266,128,3865293.0,25933.0,191740.0,1496,58252,389.0,17270775,246323,70114236,Asia
25,Austria,4072410,7571,16470,31,3945134.0,14656.0,110806.0,138,447586,1810.0,181007797,19894023,9098602,Europe
26,Israel,4040944,0,10647,0,3941841.0,0.0,88456.0,220,433299,1142.0,41373364,4436346,9326000,Asia
27,Belgium,3972963,0,31165,0,3683057.0,6661.0,258741.0,181,340147,2668.0,33313880,2852185,11680124,Europe
28,Czechia,3886876,3584,40022,8,3823868.0,1727.0,22986.0,60,361751,3725.0,55054194,5123881,10744628,Europe
29,South Africa,3743582,0,100195,0,3628776.0,0.0,14611.0,175,61724,1652.0,24212994,399224,60650219,Africa
30,Portugal,3719485,0,21993,0,,,,61,366691,2168.0,40748372,4017243,10143368,Europe
